"구분별(1)",구분별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"구분별(1)",구분별(2),합계,합계,시설녹지,시설녹지,일반녹지,일반녹지,분리대,분리대,수벽,수벽,수림대,수림대,하천변조경,하천변조경,간이휴게소,간이휴게소,지하철환기구주변,지하철환기구주변,건물주변,건물주변,아파트 및 학교,아파트 및 학교,침수공간조성,침수공간조성,기타,기타,합계,합계,시설녹지,시설녹지,일반녹지,일반녹지,분리대,분리대,수벽,수벽,수림대,수림대,하천변조경,하천변조경,간이휴게소,간이휴게소,지하철환기구주변,지하철환기구주변,건물주변,건물주변,아파트 및 학교,아파트 및 학교,침수공간조성,침수공간조성,기타,기타,합계,합계,시설녹지,시설녹지,일반녹지,일반녹지,분리대,분리대,수벽,수벽,수림대,수림대,하천변조경,하천변조경,간이휴게소,간이휴게소,지하철환기구주변,지하철환기구주변,건물주변,건물주변,아파트 및 학교,아파트 및 학교,침수공간조성,침수공간조성,기타,기타,합계,합계,시설녹지,시설녹지,일반녹지,일반녹지,분리대,분리대,수벽,수벽,수림대,수림대,하천변조경,하천변조경,간이휴게소,간이휴게소,지하철환기구주변,지하철환기구주변,건물주변,건물주변,아파트 및 학교,아파트 및 학교,침수공간조성,침수공간조성,기타,기타
"구분별(1)",구분별(2),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡)
"서울시",구로구,373,624690,18,84788,146,185013,5,28872,10,3563,8,12019,12,153198,66,22208,-,-,27,13495,63,77998,6,15498,12,28038,378,628110,18,84808,146,185013,5,28872,10,3563,8,12019,12,153198,66,22208,-,-,27,13495,68,81398,6,15498,12,28038,413,681696,35,117581,162,196326,5,28872,10,3563,8,12019,14,162698,66,22208,-,-,27,13495,68,81398,6,15498,12,28038,424,689507,35,120532,165,198281,5,28872,10,3563,8,12019,14,162698,72,24498,-,-,28,14035,68,81398,6,15498,13,28113
"서울시",금천구,201,364724,6,43642,39,42381,27,7924,1,100,2,18116,16,182809,11,17550,-,-,19,17785,25,25559,5,114,50,8744,210,388290,7,40100,39,42381,30,15788,1,100,2,18116,20,201809,11,17550,-,-,19,17785,25,25559,6,358,50,8744,213,421352,7,42246,41,73247,30,15788,1,100,2,18116,20,201809,11,17550,-,-,20,17835,25,25559,6,358,50,8744,213,422877,6,43642,41,73247,30,15788,1,100,2,18116,20,201809,11,17550,-,-,21,17964,25,25559,6,358,50,8744
"서울시",영등포구,430,819253,39,71127,126,424258,5,13941,5,4658,8,30174,6,65765,77,27288,1,1500,28,11833,87,88878,6,5464,42,74367,405,798772,23,41529,131,426541,5,21202,5,4658,8,30174,6,65765,77,27288,1,1500,28,11833,87,88878,6,5464,28,73940,413,803487,27,44975,134,427460,5,21202,5,4658,8,30174,6,65765,77,27288,1,1500,28,11833,88,89228,6,5464,28,73940,426,825263,39,66601,134,427460,5,21202,5,4658,8,30174,6,65765,77,27288,1,1500,29,11983,88,89228,6,5464,28,73940
"서울시",동작구,243,286162,14,38014,61,64666,14,20626,7,8307,3,12180,3,65800,5,5475,-,-,21,5242,51,44455,8,680,56,20717,250,282598,14,31156,61,64666,15,21406,7,8307,3,12180,3,65800,5,5475,-,-,21,5242,55,46855,8,680,58,20832,251,283028,14,31156,62,65096,15,21406,7,8307,3,12180,3,65800,5,5475,-,-,21,5242,55,46855,8,680,58,20832,251,283028,14,31156,62,65096,15,21406,7,8307,3,12180,3,65800,5,5475,-,-,21,5242,55,46855,8,680,58,20832
"서울시",관악구,285,244867,13,6809,125,46043,4,33418,1,300,1,8230,1,26000,31,59959,-,-,31,9373,52,52767,4,1154,22,814,300,252556,13,7316,131,47192,4,33418,1,300,1,8230,3,27225,33,60635,-,-,32,9515,57,56957,3,954,22,814,300,252680,13,7316,131,47316,4,33418,1,300,1,8230,3,27225,33,60635,-,-,32,9515,57,56957,3,954,22,814,302,253874,13,7318,131,47316,4,33418,1,300,1,8230,3,27225,33,60850,-,-,34,10492,57,56957,3,954,22,814
"서울시",서초구,275,1428071,27,867325,73,198703,7,16184,7,9624,3,59910,11,188340,32,17956,11,3827,28,8173,50,52109,3,1103,23,4817,322,1449157,70,868591,75,215625,7,16184,7,9624,3,59910,11,188340,32,17956,11,3827,30,11071,50,52109,3,1103,23,4817,323,1447114,72,871070,75,213203,7,16184,7,9624,3,59910,11,188340,32,17956,11,3827,29,8971,50,52109,3,1103,23,4817,283,1447114,32,871070,75,213203,7,16184,7,9624,3,59910,11,188340,32,17956,11,3827,29,8971,50,52109,3,1103,23,4817
"서울시",강남구,417,1589048,91,425360,115,179335,7,32058,7,6255,6,61400,3,732577,24,13876,7,437,50,17749,99,116376,1,1975,7,1650,425,2007604,94,415713,116,179994,7,32058,7,6255,6,61400,3,1158477,24,13876,7,437,54,18999,99,116770,1,1975,7,1650,423,2002550,94,411352,116,179994,7,32058,7,6255,6,61400,3,1158477,24,13876,7,437,52,18306,99,116770,1,1975,7,1650,355,1950588,91,424950,53,115251,7,32058,7,6255,6,61400,3,1158477,21,12825,7,437,53,18540,99,116770,1,1975,7,1650
"서울시",송파구,327,983733,43,276377,84,244366,4,65523,5,11440,3,174315,5,69365,20,34896,8,1497,62,27385,79,73741,7,4378,7,450,340,1001474,48,284171,87,250516,4,65523,5,11440,3,174315,5,69365,20,35196,8,1497,64,28026,82,76596,7,4378,7,450,340,1001474,48,284171,87,250516,4,65523,5,11440,3,174315,5,69365,20,35196,8,1497,64,28026,82,76596,7,4378,7,450,353,1056973,61,339670,87,250516,4,65523,5,11440,3,174315,5,69365,20,35196,8,1497,64,28026,82,76596,7,4378,7,450
"서울시",강동구,293,604259,32,129054,120,139847,1,24280,5,6080,1,64660,1,75215,28,27136,1,100,38,42499,52,84790,10,4882,4,5716,297,605754,30,129054,122,139847,1,24280,5,6080,1,64660,1,75215,29,27444,1,100,40,42886,53,85590,10,4882,4,5716,301,606939,32,129054,124,140612,1,24280,5,6080,1,64660,1,75215,28,27264,1,100,40,42886,54,86190,10,4882,4,5716,301,607569,32,129684,124,140612,1,24280,5,6080,1,64660,1,75215,28,27264,1,100,40,42886,54,86190,10,4882,4,5716
"서울시",중부공원녹지사업소,5,27606,-,-,4,20994,-,-,-,-,-,-,-,-,-,-,-,-,1,6612,-,-,-,-,-,-,4,28549,-,-,3,21937,-,-,-,-,-,-,-,-,-,-,-,-,1,6612,-,-,-,-,-,-,3,50186,-,-,2,13069,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37117,3,50186,-,-,2,13069,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37117
"서울시",안전총괄실,27,1789400,-,-,20,1570047,5,175170,-,-,-,-,-,-,2,44183,-,-,-,-,-,-,-,-,-,-,27,1791049,-,-,20,1571696,5,175170,-,-,-,-,-,-,2,44183,-,-,-,-,-,-,-,-,-,-,24,1672182,-,-,17,1452815,5,175184,-,-,-,-,-,-,2,44183,-,-,-,-,-,-,-,-,-,-,25,1672182,-,-,18,1452815,5,175184,-,-,-,-,-,-,2,44183,-,-,-,-,-,-,-,-,-,-
